track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_interphase,p_mitosis,p_death,cell_class
0,23680,21,3,128,569,3416.968,0.66022,False,0.86362,0.03350,0.01582,interphase
0,24452,20,19,109,558,3979.305,0.56362,False,0.68854,0.02290,0.00858,interphase
0,24457,22,24,113,550,4023.006,0.56595,False,0.64992,0.01905,0.00724,interphase
0,25995,30,54,136,553,2973.679,0.76354,False,0.80799,0.03836,0.02018,interphase
0,24716,26,27,114,546,3776.623,0.60601,False,0.63737,0.01732,0.00664,interphase
0,24206,20,14,130,547,4642.606,0.50567,False,0.63612,0.02015,0.00738,interphase
0,25617,25,43,132,534,3500.854,0.69306,False,0.64091,0.02521,0.00905,interphase
0,25494,23,41,121,536,3212.528,0.72556,False,0.67230,0.02764,0.01039,interphase
0,26008,28,49,127,549,3226.592,0.83379,False,0.74902,0.02982,0.01142,interphase
0,23966,19,12,134,548,4578.813,0.50677,False,0.66214,0.02108,0.00749,interphase
0,25246,26,39,124,536,3047.770,0.75886,False,0.67626,0.02527,0.00943,interphase
0,23715,20,4,121,573,2893.058,0.73298,False,0.87609,0.03877,0.01804,interphase
0,24099,19,11,135,552,3994.625,0.57313,False,0.72179,0.02404,0.00852,interphase
0,25892,29,50,141,552,2758.188,0.78127,False,0.82215,0.03629,0.01359,interphase
0,24357,19,18,113,555,4311.081,0.53774,False,0.66681,0.02172,0.00829,interphase
0,25637,29,44,137,539,2819.721,0.81600,False,0.72854,0.03024,0.01023,interphase
0,24744,19,25,116,547,4134.519,0.55406,False,0.63770,0.01833,0.00696,interphase
0,25899,25,53,132,552,3381.053,0.74909,False,0.77372,0.03394,0.01784,interphase
0,25005,22,31,113,543,3256.982,0.67077,False,0.68453,0.02317,0.00873,interphase
0,23602,17,8,133,554,3870.052,0.58984,False,0.74010,0.02470,0.00872,interphase
0,24244,23,13,134,549,4346.745,0.52805,False,0.66786,0.02179,0.00769,interphase
0,24501,20,20,114,555,4430.631,0.51825,False,0.65074,0.02105,0.00796,interphase
